timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,score,threshold,error
1772863362.602570,411bf11a577464f65d39c8ca,/predict,200,7.4571,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.607253,8db64d07e1c02efb4f392490,/detect_drift,200,11.8135,normal,0,0,0,0,0,0,0.925404,0.880000,
1772863362.607436,e0f96c8dd40cd7a86f0841cf,/predict,200,12.0741,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.607820,50b332e5b5aabe6c6ee5dd76,/score,200,12.6185,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.608048,14a7ea4862745aaf30c06ad7,/predict,200,12.7649,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.608676,2eb835507a05b897dda0f2ad,/detect_drift,200,6.0779,normal,0,0,0,0,0,0,0.987782,0.880000,
1772863362.609866,739bc0c649e5b6cc40fde8c0,/detect_drift,200,2.5996,normal,0,0,0,0,0,0,0.448891,0.880000,
1772863362.614342,eda36ed2821d30b56626d3a6,/score,200,6.5114,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.614499,fb4f8605ac79028c4f5a03c9,/predict,200,5.8134,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.614889,03a60bf44956c46265dec7f2,/score,200,7.4411,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.615115,823793afeb92efe5f778fd9b,/score,200,7.0572,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.615754,52e3b17b917449712c19db70,/score,200,5.8783,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.616879,74e6ef1c456dc0ce56e7a34b,/score,200,2.5270,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.621349,783bc33316283ee2d9920823,/detect_drift,200,5.5853,normal,0,0,0,0,0,0,0.809429,0.880000,
1772863362.621492,4d4879bd13e2a7402d03786b,/predict,200,6.9835,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.621776,2a3e5335797aa33cb94b0cc0,/score,200,6.8770,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.622121,fcab705d25d2d80787a5a202,/score,200,6.9971,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.622739,bc41498edb8019a81b28cc7f,/predict,200,5.8492,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.623731,fd09287a64d0f5f1eef18674,/score,200,2.3732,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.628507,4d42cfaa4143fe9b3dfbe41c,/score,200,5.7537,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.628668,06294eb9d19e0e0aba235e69,/predict,200,7.1669,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.629066,583b6a381ca865e29f9258f7,/score,200,6.9367,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.629286,9840ea00aa00e6f1128deeb7,/score,200,7.5006,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863362.630084,b0603e9c0417b5be28144671,/score,200,6.3419,normal,0,0,0,0,0,0,0.000000,0.000000,
